ORIGEM,DESTINO,DISTANCIA
SBSV,SBVT,842.7253881804429
SBAR,SBVT,1086.9820564713546
SBMO,SBVT,1288.718746148987
SBRF,SBVT,1467.0201144242953
SBJP,SBVT,1567.5725492693628
SBSG,SBVT,1697.135879405595
SBFZ,SBVT,1842.5085613163326
SBTE,SBVT,1712.522632119457
SBSL,SBVT,2011.959959924398
SBPJ,SBVT,1405.6389944240743
SBJC,SBVT,2280.1826529683913
SBMQ,SBVT,2545.292006212594
SBEG,SBVT,2874.2699584654247
SBBV,SBVT,3399.5410897329507
SBRB,SBVT,3175.87706201056
SBPV,SBVT,2842.5790274587926
SBPA,SBBR,1605.3145611196453
SBFL,SBBR,1314.1098866112588
SBCT,SBBR,1081.9286741328276
SBSP,SBBR,872.6414586552748
SBGR,SBBR,854.1186895131519
SBRJ,SBBR,927.9062564343998
SBGL,SBBR,914.3972706539041
SBCF,SBBR,591.9443543801316
SBVT,SBBR,943.1231178445014
SBCG,SBBR,876.4692413943766
SBCY,SBBR,877.9198646531835
SBGO,SBBR,161.98200724942507
SBSV,SBBR,1083.1745458396101
SBAR,SBBR,1292.267951997669
SBMO,SBBR,1492.6376676235564
SBRF,SBBR,1653.635226854971
SBJP,SBBR,1712.8377765167859
SBSG,SBBR,1770.6679646442578
SBFZ,SBBR,1690.984581615338
SBTE,SBBR,1324.5676901650647
SBSL,SBBR,1531.50326178397
SBPJ,SBBR,621.7410697231841
SBJC,SBBR,1611.912548738496
SBMQ,SBBR,1803.7180548124938
SBEG,SBBR,1949.1415122223495
SBBV,SBBR,2510.3907540223368
SBRB,SBBR,2264.6155848664416
SBPV,SBBR,1908.354804277529
SBPA,SBCG,1117.0108242538608
SBFL,SBCG,1014.6788775378834
SBCT,SBCG,796.4409133252387
SBSP,SBCG,897.6398099004092
SBGR,SBCG,907.5380012215196
SBRJ,SBCG,1219.1826127095753
SBGL,SBCG,1208.9589166091062
SBCF,SBCG,1121.8059741196103
SBVT,SBCG,1499.3287852299436
SBBR,SBCG,876.4692413943766
SBCY,SBCG,556.0549315304374
SBGO,SBCG,715.243290284492
SBSV,SBCG,1929.4743696376156
SBAR,SBCG,2155.012304858739
SBMO,SBCG,2360.998735873635
SBRF,SBCG,2526.108351571299
SBJP,SBCG,2588.1718849265244
SBSG,SBCG,2646.9511863432595
SBFZ,SBCG,2547.190362037588
