ORIGEM,DESTINO,DISTANCIA
SBSV,SBBV,3027.0385832304783
SBAR,SBBV,3032.0029213289254
SBMO,SBBV,3081.578385224575
SBRF,SBBV,3107.0681179798835
SBJP,SBBV,3065.1310667312846
SBSG,SBBV,2970.170737227255
SBFZ,SBBV,2569.4368819059264
SBTE,SBBV,2170.712299138471
SBSL,SBBV,1926.053359944151
SBPJ,SBBV,1999.6620929098472
SBJC,SBBV,1436.479292762526
SBMQ,SBBV,1113.967482003234
SBEG,SBBV,657.0110605256654
SBRB,SBBV,1622.8038713564708
SBPV,SBBV,1333.138923425267
SBPA,SBRB,2831.651295216256
SBFL,SBRB,2832.381227197236
SBCT,SBRB,2632.999431577322
SBSP,SBRB,2724.0332343932605
SBGR,SBRB,2729.245618873856
SBRJ,SBRB,3003.0330078314405
SBGL,SBRB,2990.934485052477
SBCF,SBRB,2788.7428252718064
SBVT,SBRB,3175.87706201056
SBBR,SBRB,2264.6155848664416
SBCG,SBRB,1842.5381873124738
SBCY,SBRB,1429.354182171795
SBGO,SBRB,2155.7464847197566
SBSV,SBRB,3238.465592021883
SBAR,SBRB,3371.8328391684295
SBMO,SBRB,3517.7881045388385
SBRF,SBRB,3624.8975428953445
SBJP,SBRB,3634.537233593936
SBSG,SBRB,3610.20360946058
SBFZ,SBRB,3309.084475346727
SBTE,SBRB,2814.422373239093
SBSL,SBRB,2736.0149898227764
SBPJ,SBRB,2139.3410248364194
SBJC,SBRB,2344.516689364585
SBMQ,SBRB,2164.1424817725983
SBEG,SBRB,1152.902548988885
SBBV,SBRB,1622.8038713564708
SBPV,SBRB,457.1576749926001
SBPA,SBPV,2711.4696629188943
SBFL,SBPV,2653.607823910551
SBCT,SBPV,2433.3929361359183
SBSP,SBPV,2472.780600573083
SBGR,SBPV,2473.646792089743
SBRJ,SBPV,2716.096897903523
SBGL,SBPV,2703.3098543489373
SBCF,SBPV,2464.4560723198597
SBVT,SBPV,2842.5790274587926
SBBR,SBPV,1908.354804277529
SBCG,SBPV,1639.3090466403717
SBCY,SBPV,1143.9468068431167
SBGO,SBPV,1818.5495608575536
SBSV,SBPV,2829.44180139864
SBAR,SBPV,2948.7518974353184
SBMO,SBPV,3086.1814514994
SBRF,SBPV,3186.7696387405704
SBJP,SBPV,3192.2688961065246
SBSG,SBPV,3162.7984674643135
SBFZ,SBPV,2854.985699899133
SBTE,SBPV,2361.103807820795
SBSL,SBPV,2278.864396360587
SBPJ,SBPV,1713.1385114946215
SBJC,SBPV,1891.0434901606604
SBMQ,SBPV,1723.2836602359318
SBEG,SBPV,761.9777310689173
SBBV,SBPV,1333.138923425267
SBRB,SBPV,457.1576749926001
